Country,Country_Code,Region,Year,Remittance_inflow_US_Dollar,GDP_current_prices_US_Dollar,Remittance_Percent_of_GDP,GDP_current_prices_PPP_international_dollars,Inflation_average_consumer_prices_Index_Unit,Human_Development_Index_HDI_Index_Unit,Households_NPISHs_Final_consumption_expenditure_Annual_Percent_growth,Multidimensional_poverty_headcount_ratio_WorldBank_Percent_of_population,Poverty_headcount_ratio_at_societal_poverty_line_Percent_of_population,Poverty_headcount_ratio_at_2.15USD_a_day_2017_PPP_Percent_of_population,Households_and_NPISHs_Final_consumption_expenditure_current_USD,Households_and_NPISHs_Final_consumption_expenditure_per_capita_constant_2015_USD,Literacy_rate_youth_total_Percent_of_people_ages_15_to_24
Uzbekistan,UZB,Middle East and Central Asia,2010,3.E+09,49772000000,6.907,2.E+11,31.944,0.675,NaN,NaN,NaN,NaN,30616151186,1187.850786,NaN
Uzbekistan,UZB,Middle East and Central Asia,2011,5.E+09,60213000000,8.154,2.E+11,35.92,0.682,13.31338567,NaN,NaN,NaN,36851317506,1310.34777,NaN
Uzbekistan,UZB,Middle East and Central Asia,2012,6.E+09,67520000000,9.019,2.E+11,40.194,0.688,10.12677129,NaN,NaN,NaN,42139418848,1421.956241,NaN
Uzbekistan,UZB,Middle East and Central Asia,2013,6.E+09,73192000000,8.804,2.E+11,44.897,0.693,8.724045914,NaN,NaN,NaN,46917325266,1522.048785,99.99993134
Uzbekistan,UZB,Middle East and Central Asia,2014,7.E+09,80848000000,8.430,2.E+11,48.973,0.698,8.734472295,NaN,NaN,NaN,51189654484,1627.30781,99.99996185
Uzbekistan,UZB,Middle East and Central Asia,2015,5.E+09,85662000000,5.654,2.E+11,53.119,0.701,11.77111051,NaN,NaN,NaN,55943950531,1787.409479,99.99996185
Uzbekistan,UZB,Middle East and Central Asia,2016,6.E+09,85658000000,6.765,2.E+11,57.805,0.709,8.25461173,NaN,NaN,NaN,57103069038,1901.59811,99.99993134
Uzbekistan,UZB,Middle East and Central Asia,2017,7.E+09,62081000000,11.485,2.E+11,65.826,0.714,4.161655458,NaN,NaN,NaN,39835547615,1947.669375,NaN
Uzbekistan,UZB,Middle East and Central Asia,2018,8.E+09,52870000000,14.393,2.E+11,77.362,0.719,7.356352887,NaN,NaN,NaN,32741407692,2054.94096,99.99993896
Uzbekistan,UZB,Middle East and Central Asia,2019,9.E+09,60284000000,14.176,3.E+11,88.599,0.725,5.553344844,NaN,NaN,NaN,35893879908,2128.736675,99.99992371
Uzbekistan,UZB,Middle East and Central Asia,2020,7.E+09,60225000000,11.762,3.E+11,100,0.716,0.236488782,NaN,NaN,NaN,35460934240,2093.148777,NaN
Uzbekistan,UZB,Middle East and Central Asia,2021,9.E+09,69601000000,13.329,3.E+11,110.849,0.721,11.47235814,NaN,NaN,NaN,41613627581,2287.635905,99.99992371
Uzbekistan,UZB,Middle East and Central Asia,2022,2.E+10,81167000000,20.619,3.E+11,123.538,0.727,11.37852626,2.3,18.9,2.3,49776919578,2495.544245,99.99990845
Uzbekistan,UZB,Middle East and Central Asia,2023,2.E+10,90882000000,17.715,4.E+11,135.831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
